RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB
RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2BB;FOLD
RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2BB;FOLD;FOLD;FOLD
RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;RAISE2BB;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2.3BB;RAISE2BB;FOLD;RAISE2BB;RAISE2BB;RAISE2.3BB;RAISE2.3BB;RAISE2.3BB;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2.3BB;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2.3BB;RAISE2.3BB;RAISE2BB;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2.3BB;RAISE2BB;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2.3BB;RAISE2BB;FOLD;FOLD;FOLD
RAISE2BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2.3BB;RAISE2BB;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB
